id,name,gender,designation
T1,Alice Smith,female,Assistant Professor
T2,Bob Johnson,male,Associate Professor
T3,Carol Lee,female,Professor
T4,David Kim,male,Assistant Professor
T5,Emily Davis,female,Associate Professor
T6,Frank Moore,male,Professor
T7,Grace Lee,female,Assistant Professor
T8,Henry Clark,male,Associate Professor
T9,Irene Lewis,female,Professor
T10,Jack White,male,Assistant Professor
T11,Karen Young,female,Associate Professor
T12,Larry Hall,male,Professor
T13,Mona Scott,female,Assistant Professor
T14,Nathan King,male,Associate Professor
T15,Olivia Green,female,Professor
T16,Paul Adams,male,Assistant Professor
T17,Queenie Brown,female,Associate Professor
T18,Ryan Turner,male,Professor
T19,Sophia Evans,female,Assistant Professor
T20,Tom Harris,male,Associate Professor 
